id,season,name,position,age,height,weight,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,ot,shutouts,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,ties
8474593,20112012,Jacob Markstrom,G,21,"6' 6""",207,383:15:00,,,,,7,,,,,,,,,,,,,,,,,,54:45:00,,,,1,0,2,4,205,36,5,164,5,179,38,0.923423,2.661448,6,222,17,94.73684211,100,91.62011173,
8458529,20122013,Alex Kovalev,RW,38,"6' 2""",222,218:35:00,3,2,6,21,14,7,1,2,42:03:00,176:16:00,6,33.33,9.52,1,0,0,0,0:16,5,-1,5,264,15:36,12:35,0:01,3:00,,,,,,,,,,,,,,,,,,,,
8460492,20122013,Ed Jovanovski,D,35,"6' 3""",220,93:59:00,1,0,0,6,6,3,0,0,4:47,73:05:00,0,0,0,0,0,0,0,16:07,8,-4,1,135,15:39,12:10,2:41,0:47,,,,,,,,,,,,,,,,,,,,
8462225,20122013,Filip Kuba,D,35,"6' 4""",225,933:50:00,9,1,24,50,44,37,0,4,71:22:00,750:38:00,24,0,2,0,0,0,0,111:50:00,69,-18,10,1207,21:13,17:03,2:32,1:37,,,,,,,,,,,,,,,,,,,,
8466285,20122013,Brian Campbell,D,32,"5' 10""",192,1268:00:00,19,8,12,70,48,14,6,17,184:51:00,989:41:00,12,0,11.43,2,0,0,0,93:28:00,65,-22,27,1370,26:25:00,20:37,1:56,3:51,,,,,,,,,,,,,,,,,,,,
8467910,20122013,Nolan Yonkman,D,30,"6' 6""",247,68:23:00,0,0,11,4,7,12,0,0,0:00,66:12:00,11,0,0,0,0,0,0,2:11,2,-1,0,95,9:46,9:27,0:18,0:00,,,,,,,,,,,,,,,,,,,,
8468095,20122013,George Parros,RW,32,"6' 5""",224,257:48:00,1,1,57,16,39,53,0,0,0:19,256:45:00,57,0,6.25,0,0,0,0,0:44,13,-15,2,383,6:36,6:35,0:01,0:00,,,,,,,,,,,,,,,,,,,,
8468162,20122013,Jerred Smithson,C,32,"6' 3""",209,479:44:00,3,3,12,29,45,96,0,0,1:48,380:00:00,12,55.43,10.34,0,0,0,0,97:56:00,30,-4,6,773,10:39,8:26,2:10,0:02,,,,,,,,,,,,,,,,,,,,
8468478,20122013,Mike Weaver,D,33,"5' 10""",186,543:44:00,8,1,8,21,27,49,0,0,2:55,451:04:00,8,0,4.76,0,0,0,0,89:45:00,51,-3,9,690,20:08,16:42,3:19,0:06,,,,,,,,,,,,,,,,,,,,
8468518,20122013,Tomas Kopecky,RW,29,"6' 3""",210,831:13:00,12,15,28,92,47,23,4,9,98:24:00,644:47:00,28,48.83,16.3,0,0,1,1,88:02:00,25,-8,27,1145,17:41,13:43,1:52,2:05,,,,,,,,,,,,,,,,,,,,
8469457,20122013,Stephen Weiss,C,28,"5' 11""",190,313:50:00,3,1,25,19,17,6,1,2,41:59:00,242:00:00,25,51.08,5.26,0,0,0,0,29:51:00,10,-13,4,414,18:27,14:14,1:45,2:28,,,,,,,,,,,,,,,,,,,,
8469473,20122013,Marcel Goc,C,28,"6' 1""",197,767:19:00,10,9,8,92,42,73,4,6,72:18:00,605:34:00,8,52.16,9.78,1,0,0,0,89:27:00,20,-6,19,1052,18:16,14:25,2:07,1:43,,,,,,,,,,,,,,,,,,,,
8470039,20122013,Tomas Fleischmann,LW,27,"6' 1""",192,899:14:00,23,12,16,121,48,29,2,13,117:44:00,739:41:00,16,50,9.92,2,0,1,1,41:49:00,10,-10,35,1169,18:44,15:24,0:52,2:27,,,,,,,,,,,,,,,,,,,,
8470105,20122013,Scottie Upshall,RW,28,"6' 0""",200,364:29:00,1,4,25,54,27,38,1,1,22:01,309:08:00,25,64.28,7.41,1,0,0,0,33:20:00,6,-8,5,535,13:29,11:26,1:14,0:48,,,,,,,,,,,,,,,,,,,,
